,store,sido,gungu,address,phone
154,석관장위,서울,성북구,서울 성북구 화랑로 265,02 -918-9925
155,정릉1호,서울,성북구,서울 성북구 정릉4동 285-4,"02 -909-3311,9282"
156,정릉2호,서울,성북구,서울 성북구 정릉동 175-24,02 -912-1333
157,가락2호,서울,송파구,서울 송파구 가락동 75-7,"02 -448-9005,9045"
158,거여가락1호,서울,송파구,서울 송파구 가락동 180-9,02 -406-9282
159,마천1호,서울,송파구,서울 송파구 거여동 32-6,02 -404-9907~8
160,문정법조,서울,송파구,서울 송파구 문정동 620 송파푸르지오시티 B09호,02 -3012-1992
161,방이2호,서울,송파구,서울 송파구 방이동 59-1,02 -420-0495
162,방이역,서울,송파구,서울 송파구 오금동 41-23 성암빌딩 1층,"02 -418-9599,9569"
163,석촌,서울,송파구,서울 송파구 석촌동 163-1,02 -412-0799
164,송파1호,서울,송파구,서울 송파구 송파동 147,02 -418-8892
165,위례송파,서울,송파구,"서울 송파구 장지동 894 위례아이파크 상가1동 103호, 104호",02 -2043-1991
166,잠실1호,서울,송파구,서울 송파구 잠실본동 313-8,"02 -416-9939,423 - 9989"
167,잠실2호,서울,송파구,서울 송파구 신천동 11-4,02 -417-9225
168,장지,서울,송파구,서울 송파구 문정동 102-1,"02 -403-9225,9222"
169,풍납1호,서울,송파구,서울 송파구 풍납2동 405번지,02 -478-5844~5
170,헬리오시티,서울,송파구,"서울 송파구 가락동 479 헬리오시티상가 A동 3,4호",02 -406-1991
171,목동1호,서울,양천구,서울 양천구 목동 797-3,02 -2645-9925
172,목동2호,서울,양천구,서울 양천구 목동 909-8 이화프라자 1층 101호,"02 -2643-9339,2643-9329"
173,목동오거리,서울,양천구,서울 양천구 목동 940 현대아이파크상가 102,02 -2647-0092
174,신월1호,서울,양천구,서울 양천구 신월동 602-8,02 -2606-1992
175,신월2호,서울,양천구,서울 양천구 신월7동 972-6,"02 -2697-7272,2692-0030"
176,신정1호,서울,양천구,서울 양천구 신정1동 1027-2,02 -2649-9282
177,신트리,서울,양천구,서울 양천구 신정동 1267 목동뉴프라자,02 -2605-7892
178,오목교,서울,양천구,서울 양천구 신정동 1296 아이파크 상가 1층,02 -2654-0833
179,화곡1호,서울,양천구,서울 양천구 신월동 23-17,02 -2606-9961~2
180,당산1호,서울,영등포구,서울 영등포구 영등포동8가 76-1 삼환@상가 112호,"02 -2672-9995,2672-9994"
181,대림2호,서울,영등포구,서울 영등포구 대림3동 783-6,"02 -847-9939,847-9989"
182,문래,서울시,영등포구,서울시 영등포구 문래동3가 77-34,02 -2672-7676
183,선유도역,서울,영등포구,서울 영등포구 양평동4가 147-3,02 -2069-1991
184,신길1호,서울,영등포구,서울 영등포구 신길동 296-14,02 -833-6016
185,신길2호,서울,영등포구,서울 영등포구 신길7동 674,02 -849-0033
186,신풍역,서울,영등포구,서울 영등포구 신길동 445-2,02 -835-1223
187,여의도,서울,영등포구,서울 영등포구 여의도동 44-31,02 -769-1555
188,영등포1호,서울,영등포구,서울 영등포구 도림동 76-24,"02 -841-7282,849-7282"
189,동부이촌,서울,용산구,서울 용산구 이촌1동 301-153 오성상가 103,02 -795-4747
190,보광,서울,용산구,서울 용산구 보광동 217-13,02 -3785-1991
191,숙대,서울,용산구,서울 용산구 청파동2가 90-11,02 -707-2577
192,신용산역,서울,용산구,서울 용산구 한강로2가 122-5,02 -792-8722
193,용문,서울,용산구,서울 용산구 용문동 28-26,02 -702-2858
194,후암,서울,용산구,서울 용산구 후암동 244-59,02 -757-3535
195,구산역,서울,은평구,서울 은평구 갈현동 464-14,02 -352-9949
196,녹번,서울,은평구,서울 은평구 녹번동 82-47,02 -359-9200
197,대조,서울,은평구,서울 은평구 대조동 231 삼성타운 A 101호,02 -355-6173~4
198,불광1동,서울,은평구,서울 은평구 불광동 554-1 라비앙프라자1층 101호,02 -354-8592
199,신사1동,서울,은평구,서울 은평구 신사동 29-13,02 -375-8295
200,역촌1호,서울,은평구,서울 은평구 역촌동 55-1,02 -356-4326~7
201,연신내,서울,은평구,서울 은평구 불광동 484-72,02 -382-1990
202,은평뉴타운,서울,은평구,서울 은평구 진관동 22 은평뉴타운상가 914-103호,02 -359-9288
203,응암1동,서울,은평구,서울 은평구 응암동 236-33,02 -389-9327
204,증산(서울),서울,은평구,서울 은평구 증산동 209-18,"02 -376-9999,9992"
205,대학로,서울,종로구,서울 종로구 명륜동4가 113-1,02 -3672-9292
206,숭인,서울,종로구,서울 종로구 숭인2동 183-13,02 -765-5800
207,안국,서울,종로구,서울 종로구 화동 138-7,02 -734-9992
208,종로1호,서울,종로구,서울 종로구 관철동 13-13,02 -737-9292
209,동대문1호,서울,중구,서울 중구 창신동 464-6,02 -2231-9337
210,서울시청,서울,중구,서울 중구 태평로2가 55,02 -318-1992
211,신당1호,서울,중구,서울 중구 신당동 846,02 -2237-9952~3
212,약수,서울,중구,서울 중구 신당동 374-14,02 -2233-9917
213,망우본동,서울,중랑구,서울 중랑구 망우동 149-7,02 -433-1993
214,면목1호,서울,중랑구,서울 중랑구 면목본동 72-43,02 -494-9962~3
215,면목2호,서울,중랑구,서울 중랑구 면목2동 191-126,"02 -494-6282,496-6282"
216,묵동,서울,중랑구,서울 중랑구 묵동 175-2,02 -948-1992
217,사가정역,서울,중랑구,서울 중랑구 면목동 496-14,02 -2207-6543
218,상봉1호,서울,중랑구,서울 중랑구 상봉동 91-1,"02 -491-9738, 9"
219,신내1호,서울,중랑구,서울 중랑구 신내동 797,02 -2209-9980
220,중화,서울,중랑구,서울 중랑구 중화동 304-34,02 -433-1992
221,가야,부산,부산진구,부산 부산진구 가야동 478,051-894-9909
222,감만,부산,남구,부산 남구 감만1동 158-6,051-631-0900
223,개금1호,부산,부산진구,부산 부산진구 개금동 2-1,"051-894-6071,6072"
224,개금2호,부산,부산진구,부산 부산진구 개금1동 201-6,051-894-8292
225,거제법조,부산,연제구,부산 연제구 거제동 986-5,051-505-5511
226,광안2호,부산,수영구,부산 수영구 광안동 168-3,"051-754-2092,756-2092"
227,괘법,부산,사상구,부산 사상구 괘법동 516-1,051-325-0090
228,괴정1호,부산,사하구,부산 사하구 괴정동 487-24,051-202-9951
229,구서1호,부산,금정구,부산 금정구 구서2동 1024-1,051-516-8600
230,구포1호,부산,북구,부산 북구 구포3동 1228-1,"051-363-9992,5793"
231,국제신도시,부산,강서구,부산 강서구 명지동 3412-6,051-291-9993
232,금곡(부산),부산,북구,부산 북구 금곡동 57-6,051-365-1991
233,기장,부산,기장군,부산 기장군 기장읍 동부리 134-2,051-722-9945
234,남부민,부산,서구,부산 서구 충무동2가 3-1,051-247-9282
235,남산1호,부산,금정구,부산 금정구 남산동 99-6,"051-581-9968,9264"
236,남포부평,부산,중구,부산 중구 중앙동1가 23-6,051-253-7942
237,다대1호,부산,사하구,부산 사하구 다대2동 85-5,051-265-4446
238,다대2호,부산,사하구,부산 사하구 다대동 1014,051-266-8806
239,당감,부산,부산진구,부산 부산진구 당감동 367-2,"051-891-9979,9980"
240,당리괴정2호,부산,사하구,부산 사하구 괴정동 577-42,051-207-9242
241,국제신도시,부산,강서구,부산 강서구 명지동 3412-6,051-291-9993
242,명지신도시,부산,강서구,부산 강서구 명지동 3256-5,051-271-7725
243,신호,부산,강서구,부산 강서구 신호동 317-15,051-941-9207
244,지사,부산,강서구,부산 강서구 지사동 1191-5,051-831-6880
245,구서1호,부산,금정구,부산 금정구 구서2동 1024-1,051-516-8600
246,남산1호,부산,금정구,부산 금정구 남산동 99-6,"051-581-9968,9264"
247,부곡1호,부산,금정구,부산 금정구 부곡동 23-15,051-517-3009
248,부곡2호,부산,금정구,부산 금정구 부곡1동 324-20,051-516-0111
249,부산대,부산,금정구,부산 금정구 금강로 장전동 418-13,051-582-8588
250,서동1호,부산,금정구,부산 금정구 서동 210-6,051-526-8292
251,장전1호,부산,금정구,부산 금정구 장전동 134-19,051-514-8200
252,기장,부산,기장군,부산 기장군 기장읍 동부리 134-2,051-722-9945
253,정관1호,부산,기장군,부산 기장군 정관면 매학리 751-8,051-728-9233
254,정관2호,부산,기장군,부산 기장군 모전리 747-7,051-728-5399
255,감만,부산,남구,부산 남구 감만1동 158-6,051-631-0900
256,대연1호,부산,남구,부산 남구 대연동 1013-8,051-639-9292
257,대연2호,부산,남구,부산 남구 대연동 52-7,051-621-4800
258,대연3호,부산,남구,부산 남구 대연동 1161-9,051-622-1991
259,메트로시티1호,부산,남구,부산 남구 용호동 176-30,051-625-8900
260,못골,부산,남구,부산 남구 대연동 1543-33,051-637-7733
261,문현1호,부산,남구,부산 남구 문현동 359-5,051-634-8292
262,문현2호,부산,남구,부산 남구 문현1동 127-56,051-646-5592
263,용호1호,부산,남구,부산 남구 용호동 555-19,051-626-3999
264,범일1호,부산,동구,부산 동구 범일동 833-2,051-642-8558
265,수정1호,부산,동구,부산 동구 수정동 295-3,051-469-8880
266,초량,부산,동구,부산 동구 초량동 132-1,051-441-9994
267,명륜(부산),부산,동래구,부산 동래구 명륜1동 673-9,051-555-9224
268,명장1호,부산,동래구,부산 동래구 명장동 26-24번지 국제아파트 상가 106호,"051-525-9233,9345"
269,복천,부산,동래구,부산 동래구 복천동 476-1,"051-555-8592,556-8592"
270,사직1호(부산),부산,동래구,부산 동래구 사직동 137-5번지,051-505-9289
271,사직2호,부산,동래구,부산 동래구 사직동 89-16,051-501-9995
272,수안,부산,동래구,부산 동래구 수안동 192-4,051-557-1990
273,안락2호,부산,동래구,부산 동래구 안락동 670-13,051-526-7171
274,온천1호,부산,동래구,부산 동래구 온천동 210-5번지,"051-555-2016,2017"
275,온천2호,부산,동래구,부산 동래구 온천동 1411-47,051-506-4949
276,우방신세계,부산,동래구,부산 동래구 안락동 471-41,051-521-8477~8
277,가야,부산,부산진구,부산 부산진구 가야동 478,051-894-9909
278,개금1호,부산,부산진구,부산 부산진구 개금동 2-1,"051-894-6071,6072"
279,개금2호,부산,부산진구,부산 부산진구 개금1동 201-6,051-894-8292
280,당감,부산,부산진구,부산 부산진구 당감동 367-2,"051-891-9979,9980"
281,범천,부산,부산진구,부산 부산진구 범천동 1278-11,051-637-9982
282,부암1호,부산,부산진구,부산 부산진구 부암동 301-33,051-808-6060
283,서면,부산,부산진구,부산 부산진구 부전동 266-24,051-808-9981
284,양정,부산,부산진구,부산 부산진구 양정동 310-6,051-853-5458
285,연지,부산,부산진구,부산 부산진구 동평로 299,051-807-7701~2
286,초읍대공원,부산,부산진구,부산 부산진구 초읍동 288-6,"051-807-3492,3498"
287,구포1호,부산,북구,부산 북구 구포3동 1228-1,"051-363-9992,5793"
288,금곡(부산),부산,북구,부산 북구 금곡동 57-6,051-365-1991
289,덕천2호,부산,북구,부산 북구 덕천3동 781-2,"051-331-3179,343-3171"
290,덕천역,부산,북구,부산 북구 덕천동 402-12,051-336-1991
291,만덕1호,부산,북구,부산 북구 만덕동 294,051-341-7771
292,만덕2호,부산,북구,부산 북구 만덕3동 915-6,051-337-4300
293,화명1호,부산,북구,부산 북구 화명동 749,051-338-9933
294,화명3호,부산,북구,부산 북구 화명동 182-5(2층),"051-362-7770, 080-965-9999"
295,화명신도시,부산,북구,부산 북구 화명동 2266-1,051-342-9282
296,괘법,부산,사상구,부산 사상구 괘법동 516-1,051-325-0090
297,덕포,부산,사상구,부산 사상구 덕포동 767-10,051-303-5592
298,동서대,부산,사상구,부산 사상구 주례동 55-176,051-325-2827
299,모라,부산,사상구,부산 사상구 모라동 1349-,051-322-9998
300,신주례,부산,사상구,부산 사상구 주례2동 3-17,"051-315-9977,324-2626"
301,엄궁,부산,사상구,부산 사상구 엄궁동 40-94,"051-311-7599,7598"
302,학장,부산,사상구,부산 사상구 학장동 579-9,051-313-9925
303,괴정1호,부산,사하구,부산 사하구 괴정동 487-24,051-202-9951
304,다대1호,부산,사하구,부산 사하구 다대2동 85-5,051-265-4446
305,다대2호,부산,사하구,부산 사하구 다대동 1014,051-266-8806
306,당리괴정2호,부산,사하구,부산 사하구 괴정동 577-42,051-207-9242
307,신평1호,부산,사하구,부산 사하구 신평동 71-15,051-294-8853~4
308,장림,부산,사하구,부산 사하구 장림동 590,051-266-1182
309,하단1호,부산,사하구,부산 사하구 하단2동 506-15,051-202-4780~1
310,하단2호,부산,사하구,부산 사하구 하단동 605-42,051-292-8592
311,국제신도시,부산,강서구,부산 강서구 명지동 3412-6,051-291-9993
312,남부민,부산,서구,부산 서구 충무동2가 3-1,051-247-9282
313,대신,부산,서구,부산 서구 대영로 30,051-231-9992~3
314,명지신도시,부산,강서구,부산 강서구 명지동 3256-5,051-271-7725
315,송도감천,부산,서구,"부산 서구 암남동 64-2 상가동 108호,109호(암남동)",051-231-9292
316,신호,부산,강서구,부산 강서구 신호동 317-15,051-941-9207
317,아미부민,부산,서구,부산 서구 부민동1가 11-3,051-242-3651
318,지사,부산,강서구,부산 강서구 지사동 1191-5,051-831-6880
319,광안2호,부산,수영구,부산 수영구 광안동 168-3,"051-754-2092,756-2092"
320,망미1호,부산,수영구,부산 수영구 망미동 413-11,051-759-9925
321,민락(부산),부산,수영구,부산 수영구 민락동 165-15,051-757-9294
322,수영,부산,수영구,부산 수영구 수영동 503-23,051-761-4992
323,거제법조,부산,연제구,부산 연제구 거제동 986-5,051-505-5511
324,시청(부산),부산,연제구,부산 연제구 거제3동 34-19,051-851-9945
325,연산1호,부산,연제구,부산 연제구 연산동 479-9,051-757-3532
326,연산2호,부산,연제구,부산 연제구 연산4동 578-1 삼익아파트 상가 101호,051-853-9980~1
327,연산3호,부산,연제구,부산 연제구 연산동 2133-48,051-851-7211~2
328,대교남항,부산,영도구,부산 영도구 남항동1가 82,051-417-9999
329,동삼,부산,영도구,부산 영도구 동삼동 219-146,051-405-9995
330,봉래영선,부산,영도구,"부산 영도구 영선동1가 69-2, 69-3",051-417-9288
331,청학,부산,영도구,부산 영도구  청학동 13-14,051-417-9996
332,남포부평,부산,중구,부산 중구 중앙동1가 23-6,051-253-7942
333,영주대청,부산,중구,부산 중구 대청동4가 82-13,051-441-4942
334,마린시티,부산,해운대구,부산 해운대구 우동 1434-2,051-731-1929
335,반송(부산),부산,해운대구,부산 해운대구 반송2동 216-150,051-545-9289
336,반여1호,부산,해운대구,부산 해운대구 반여동 1628-5,"051-524-1991,1221"
337,송정(부산),부산,해운대구,부산 해운대구 송정동 227-7,051-702-5006
338,우동1호,부산,해운대구,부산 해운대구 우동 1090-13,051-744-2474~5
339,재송1호,부산,해운대구,부산 해운대구 반여동 1291-1019,051-782-9989
340,재송2호,부산,해운대구,부산 해운대구 재송동 1083-10,051-784-9992
341,좌동1호,부산,해운대구,부산 해운대구 좌동 970,051-703-9917
342,좌동2호,부산,해운대구,부산 해운대구 좌동 1341-8,051-743-1995
343,좌동3호,부산,해운대구,부산 해운대구 좌동 1484-1,"051-704-9399,9599"
344,해운대역,부산,해운대구,부산 해운대구 우동 639-4,051-746-9288
345,감삼성당,대구,달서구,대구 달서구 감삼동 317-3,"053-552-6999,622-9995"
346,계명,대구시,남구,대구시 남구 양지로 107,053-626-9992
347,관음,대구,북구,대구 북구 관음동 1383-9,053-326-9998
348,구암,대구,북구,대구 북구 태전동 1074-6,"053-322-5844,323-9969"
349,구지,대구,달성군,대구 달성군 구지면 응암리 1204-2,053-615-2992
350,금호지구,대구,북구,대구 북구 사수동 912,053-312-1990
351,남산대신,대구,중구,대구 중구 남산3동 2466-14,"053-255-9982,3"
352,내당,대구,서구,대구 서구 내당동 219-7,"053-522-9199, 555-9981"
353,논공,대구,달성군,대구 달성군 논공읍 북리 803-128,053-615-9945
354,다사,대구,달성군,대구 달성군 다사읍 죽곡리 809-1,053-592-9991
355,달성비산,대구,서구,대구 서구 비산동 440-5,053-551-9925
356,대곡,대구,달서구,대구 달서구 도원동 1442-2 1층 107호,053-635-3599
357,대구혁신,대구,동구,대구 동구 각산동 1098-5 102호,053-955-1991
358,대명1호,대구,남구,대구 남구 대명동 1098-4,053-629-9994
359,동구청,대구,동구,대구 동구 신암동 345-3,053-959-9950
360,동서변,대구,북구,대구 북구 동변동 669-4,053-958-9991
361,동천3지구,대구,북구,대구 북구 동천동 906-3,"053-321-0900,6551"
362,동호,대구,동구,대구 동구 동호동 384-7,053-963-8558
363,만촌1호,대구,수성구,대구 수성구 만촌동 849-2,053-745-7123
364,만촌2호,대구,수성구,대구 수성구 만촌1동 1330-12,053-755-8592~1
365,계명,대구시,남구,대구시 남구 양지로 107,053-626-9992
366,대명1호,대구,남구,대구 남구 대명동 1098-4,053-629-9994
367,봉덕,대구,남구,대구 남구 봉덕동 687-32,053-471-1222
368,앞산,대구,남구,대구 남구 대명동 780-3,053-657-9999
369,이천대봉,대구,남구,대구 남구 이천동 184-9,"053-476-5800,1"
370,감삼성당,대구,달서구,대구 달서구 감삼동 317-3,"053-552-6999,622-9995"
371,대곡,대구,달서구,대구 달서구 도원동 1442-2 1층 107호,053-635-3599
372,상인,대구,달서구,대구 달서구 상인동 1555-1,053-637-6999
373,성서,대구,달서구,대구 달서구 신당동 1761-5,053-583-6969
374,송현(대구),대구,달서구,대구 달서구 송현1동 207-2,053-656-9945
375,신월성,대구,달서구,대구 달서구 월성동 1264번지 트럼프스타 B/D 106호,053-634-9996
376,용산,대구,달서구,대구 달서구 용산1동 954-6,"053-524-4999,8"
377,용산새방,대구,달서구,대구 달서구 용산동 499-2,053-592-6999
378,월성,대구,달서구,대구 달서구 본동 1135-4,053-571-9992
379,장기,대구,달서구,대구 달서구 장기동 826-6,"053-523-0111, 0222"
380,진천(대구),대구,달서구,대구 달서구 진천동 504,053-635-9992
381,호산파호,대구,달서구,대구 달서구 호산동 357-116,053-592-5924
382,구지,대구,달성군,대구 달성군 구지면 응암리 1204-2,053-615-2992
383,논공,대구,달성군,대구 달성군 논공읍 북리 803-128,053-615-9945
384,다사,대구,달성군,대구 달성군 다사읍 죽곡리 809-1,053-592-9991
385,명곡,대구,달성군,대구 달성군 화원읍 명곡리 320-1,053-644-2999
386,서재세천,대구,달성군,대구 달성군 다사읍 서재리 423-15,053-593-9902
387,옥포(대구),대구,달성군,대구 달성군 옥포읍 교항리 2911,053-625-1991
388,테크노폴리스,대구,달성군,대구 달성군 유가면 봉리 606 하이젠스타 115호,053-617-1991
389,화원,대구,달성군,대구 달성군 화원읍 천내리 241-1,053-635-9981
390,대구혁신,대구,동구,대구 동구 각산동 1098-5 102호,053-955-1991
391,동구청,대구,동구,대구 동구 신암동 345-3,053-959-9950
392,동호,대구,동구,대구 동구 동호동 384-7,053-963-8558
393,방촌,대구,동구,대구 동구 방촌동 1118-121,053-983-3993
394,신암대현,대구,동구,대구 동구 신암동 806-3,053-952-9992
395,신천1호(대구),대구,동구,대구 동구 신천동 501-5,053-742-9985
396,신천2호,대구,동구,대구 동구 신청동 377-12,"053-741-9010,745-5363"
397,율하(대구),대구,동구,대구 동구 율하동 1311번지 102호,053-964-3347
398,지묘봉무,대구,동구,대구 동구 지묘동 808-3,053-985-1003
399,지저불로,대구,동구,대구 동구 지저동 833-15,"053-981-5770,983-6556"
400,관음,대구,북구,대구 북구 관음동 1383-9,053-326-9998
401,구암,대구,북구,대구 북구 태전동 1074-6,"053-322-5844,323-9969"
402,금호지구,대구,북구,대구 북구 사수동 912,053-312-1990
403,동서변,대구,북구,대구 북구 동변동 669-4,053-958-9991
404,동천3지구,대구,북구,대구 북구 동천동 906-3,"053-321-0900,6551"
405,복현1호,대구,북구,대구 북구 복현동 426-5,053-953-3399
406,복현2호,대구,북구,대구 북구 복현동 539 -110 복현서한타운 상가 103호,053-383-9970
407,산격,대구,북구,대구 북구 산격동 1400-20,"053-383-1203, 1102"
408,원대노원,대구,북구,대구 북구 노원동3가 892-1,053-355-3306
409,읍내(대구),대구,북구,대구 북구 읍내동 1449 202동 103호,053-312-4499
410,칠성고성,대구,북구,대구 북구 동2가 42-9,053-353-9400
411,침산,대구,북구,대구 북구 침산동 457-31,"053-356-9995,9905"
412,태전(대구),대구,북구,대구 북구 태전동 254-30,053-312-9980
413,팔달매천,대구,북구,대구 북구 매천동 682,"053-311-9910,9920"
414,학정,대구,북구,대구 북구 학정동 282-14,053-321-1991
415,감삼성당,대구,달서구,대구 달서구 감삼동 317-3,"053-552-6999,622-9995"
416,내당,대구,서구,대구 서구 내당동 219-7,"053-522-9199, 555-9981"
417,달성비산,대구,서구,대구 서구 비산동 440-5,053-551-9925
418,대곡,대구,달서구,대구 달서구 도원동 1442-2 1층 107호,053-635-3599
419,상인,대구,달서구,대구 달서구 상인동 1555-1,053-637-6999
420,성서,대구,달서구,대구 달서구 신당동 1761-5,053-583-6969
421,송현(대구),대구,달서구,대구 달서구 송현1동 207-2,053-656-9945
